ticker,cik,filing_date,accession,doc,tokens,substantive_base,boilerplate_base,tls_base,substantive_section,boilerplate_section,tls_section,substantive_prox15,boilerplate_prox15,tls_prox15,substantive_prox20,boilerplate_prox20,tls_prox20,substantive_full15,boilerplate_full15,tls_full15,substantive_full20,boilerplate_full20,tls_full20
NVDA,1045810,2025-02-26,0001045810-25-000023,nvda-20250126.htm,54442,1.8368171632195731,0.9184085816097866,0.9184085816097866,2.5715440285074025,1.2857720142537012,1.2857720142537012,1.9286580213805518,0.9184085816097866,1.0102494397707653,2.0204988795415306,0.9184085816097866,1.102090297931744,2.663384886668381,1.2857720142537012,1.37761287241468,2.75522574482936,1.2857720142537012,1.4694537305756585
NVDA,1045810,2024-02-21,0001045810-24-000029,nvda-20240128.htm,53232,1.5028554253080855,0.7514277126540427,0.7514277126540427,2.1603546738803727,1.0332131048993087,1.127141568981064,1.5028554253080855,0.7514277126540427,0.7514277126540427,1.5028554253080855,0.7514277126540427,0.7514277126540427,2.1603546738803727,1.0332131048993087,1.127141568981064,2.1603546738803727,1.0332131048993087,1.127141568981064
NVDA,1045810,2023-02-24,0001045810-23-000017,nvda-20230129.htm,50117,2.194864018197418,2.7934632958876233,-0.5985992776902049,3.1925294810144265,4.090428397549734,-0.8978989165353074,2.194864018197418,2.7934632958876233,-0.5985992776902049,2.194864018197418,2.7934632958876233,-0.5985992776902049,3.1925294810144265,4.090428397549734,-0.8978989165353074,3.1925294810144265,4.090428397549734,-0.8978989165353074
MSFT,789019,2025-07-30,0000950170-25-100235,msft-20250630.htm,49356,0.4052192235999676,1.013048058999919,-0.6078288353999514,0.4052192235999676,1.013048058999919,-0.6078288353999514,0.4052192235999676,1.013048058999919,-0.6078288353999514,0.4052192235999676,1.013048058999919,-0.6078288353999514,0.4052192235999676,1.013048058999919,-0.6078288353999514,0.4052192235999676,1.013048058999919,-0.6078288353999514
MSFT,789019,2024-07-30,0000950170-24-087843,msft-20240630.htm,55579,0.3598481440831969,2.1590888644991812,-1.7992407204159844,0.3598481440831969,2.1590888644991812,-1.7992407204159844,0.3598481440831969,2.1590888644991812,-1.7992407204159844,0.3598481440831969,2.1590888644991812,-1.7992407204159844,0.3598481440831969,2.1590888644991812,-1.7992407204159844,0.3598481440831969,2.1590888644991812,-1.7992407204159844
MSFT,789019,2023-07-27,0000950170-23-035122,msft-20230630.htm,53263,0.18774759213713085,1.5019807370970468,-1.314233144959916,0.18774759213713085,1.5019807370970468,-1.314233144959916,0.18774759213713085,1.5019807370970468,-1.314233144959916,0.18774759213713085,1.5019807370970468,-1.314233144959916,0.18774759213713085,1.5019807370970468,-1.314233144959916,0.18774759213713085,1.5019807370970468,-1.314233144959916
AAPL,320193,2025-10-31,0000320193-25-000079,aapl-20250927.htm,32213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,320193,2024-11-01,0000320193-24-000123,aapl-20240928.htm,31879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,320193,2023-11-03,0000320193-23-000106,aapl-20230930.htm,31484,0.31762164909160207,0.0,0.31762164909160207,0.31762164909160207,0.0,0.31762164909160207,0.4764324736374031,0.0,0.4764324736374031,0.6352432981832041,0.0,0.6352432981832041,0.4764324736374031,0.0,0.4764324736374031,0.6352432981832041,0.0,0.6352432981832041
GOOGL,1652044,2025-02-05,0001652044-25-000014,goog-20241231.htm,55649,1.7969774838721269,0.8984887419360634,0.8984887419360634,2.515768477420978,1.257884238710489,1.257884238710489,1.7969774838721269,0.8984887419360634,0.8984887419360634,1.7969774838721269,0.8984887419360634,0.8984887419360634,2.515768477420978,1.257884238710489,1.257884238710489,2.515768477420978,1.257884238710489,1.257884238710489
