ticker,cik,filing_date,accession,doc,tokens,substantive_full15,boilerplate_full15,tls_full15
STEL,1473844,2024-02-29,0001473844-24-000010,stel-20231231.htm,77617,0.0,0.7730265276936754,-0.7730265276936754
STEP,1796022,2024-05-24,0001796022-24-000041,step-20240331.htm,98722,0.1519418164137679,9.622981706205303,-9.471039889791536
STGW,876883,2024-03-11,0000876883-24-000007,stgw-20231231.htm,83257,0.4804400831161344,0.3002750519475839,0.1801650311685504
STLD,1022671,2024-02-29,0001558370-24-002152,stld-20231231x10k.htm,50194,2.8887914890225925,0.2988404988644061,2.5899509901581865
STOK,1623526,2024-03-25,0000950170-24-035912,stok-20231231.htm,85141,1.996687847218144,0.4110827920743238,1.5856050551438203
STRA,1013934,2024-02-29,0001013934-24-000004,stra-20231231.htm,85837,0.524249449538078,0.4659995107005137,0.0582499388375642
STRL,874238,2024-02-27,0000874238-24-000032,strl-20231231.htm,44020,6.076783280327124,0.0,6.076783280327124
STT,93751,2024-02-15,0000093751-24-000498,stt-20231231.htm,138353,0.2891155233352366,4.661987813780691,-4.3728722904454544
A,1090872,2024-12-20,0001090872-24-000049,a-20241031.htm,77512,0.7095675508308391,2.3222210754463823,-1.6126535246155431
AA,1675149,2024-02-21,0000950170-24-018069,aa-20231231.htm,94183,6.795281526390113,0.5839695061741503,6.211312020215963
AAL,6201,2024-02-21,0000006201-24-000010,aal-20231231.htm,126165,5.112352871240042,0.6340902786034162,4.478262592636627
AAOI,1158114,2024-02-23,0001437749-24-005367,aaoi20231231_10k.htm,54549,0.8249463784853984,0.0,0.8249463784853984
AAON,824142,2024-02-28,0000824142-24-000030,aaon-20231231.htm,40282,6.702745643215332,3.4754977409264685,3.2272479022888634
AAP,1158449,2024-05-30,0001158449-24-000128,aap-20231230.htm,24683,0.0,0.4051371389215249,-0.4051371389215249
AAPL,320193,2024-11-01,0000320193-24-000123,aapl-20240928.htm,31879,0.0,0.0,0.0
AAT,1500217,2024-02-14,0001500217-24-000008,aat-20231231.htm,76890,0.0,0.1300559240473403,-0.1300559240473403
AB,825313,2024-02-09,0000825313-24-000020,ab-20231231.htm,96618,0.5692521062327931,5.278519530522263,-4.70926742428947
ABBV,1551152,2024-02-20,0001551152-24-000011,abbv-20231231.htm,66079,3.556349218359842,0.9836710603974032,2.572678157962439
ABCB,351569,2024-02-28,0000351569-24-000006,abcb-20231231.htm,71160,0.0,1.5458122540753232,-1.5458122540753232
ABG,1144980,2024-02-29,0001144980-24-000076,abg-20231231.htm,79072,1.897005261027924,0.5058680696074463,1.3911371914204775
ABM,771497,2024-12-19,0000771497-24-000029,abm-20241031.htm,46261,7.403644538596225,0.0,7.403644538596225
ABR,1253986,2024-02-20,0001628280-24-005456,abr-20231231.htm,82743,1.2689895217722345,4.048680855178081,-2.779691333405847
ABT,1800,2024-02-16,0001628280-24-005348,abt-20231231.htm,52569,1.1413570735604637,1.2364701630238353,-0.0951130894633719
ACA,1739445,2024-02-23,0001739445-24-000012,aca-20231231.htm,49709,25.246937174354745,2.5146351767285604,22.732301997626188
ACAD,1070494,2024-02-28,0000950170-24-021473,acad-20231231.htm,76286,2.523398788768582,0.3932569540938049,2.1301418346747765
ACEL,1698991,2024-02-28,0001698991-24-000007,acel-20231231.htm,54136,0.0,0.0,0.0
ACGL,947484,2024-02-23,0000947484-24-000020,acgl-20231231.htm,132619,0.5655298260430255,3.807900828689706,-3.2423710026466797
ACHC,1520697,2024-02-28,0000950170-24-022057,achc-20231231.htm,59778,0.1672856234735187,1.4219277995249089,-1.2546421760513902
ACI,1646972,2024-04-22,0001646972-24-000060,aci-20240224.htm,56914,0.7906666198123484,2.8991109393119445,-2.108444319499596
ACIW,935036,2024-02-29,0000935036-24-000007,aciw-20231231.htm,50460,0.2972651605231867,0.4954419342053112,-0.1981767736821244
ACLS,1113232,2024-02-28,0001558370-24-001969,acls-20231231x10ka.htm,20937,0.0,0.9552466924583274,-0.9552466924583274
ACM,868857,2024-11-19,0001410578-24-002030,acm-20240930x10k.htm,62902,1.192330927474484,1.9077294839591743,-0.7153985564846904
ACMR,1680062,2024-02-28,0001680062-24-000008,acmr-20231231.htm,85760,0.0,1.515858208955224,-1.515858208955224
AD,821130,2024-02-16,0000821130-24-000007,usm-20231231.htm,49472,0.0,1.718143596377749,-1.718143596377749
ADBE,796343,2024-01-17,0000796343-24-000006,adbe-20231201.htm,56758,0.0,1.6737728602135382,-1.6737728602135382
