issuer_ticker,as_of_date,iva_company_rating,environmental_pillar_score,climate_change_theme_score,carbon_emissions_score,energy_efficiency_score,prod_carb_ftprnt_score,ins_climate_chg_risk_score
FIZZ,2025-09-01,CCC,0.80,0.00,0.05,,0.00,
BALL,2025-09-01,AAA,9.70,0.10,0.10,,,
ORA,2025-09-01,BBB,0.10,0.10,0.10,,,
COF,2025-09-01,A,0.10,0.10,0.10,,,
MCRI,2025-09-01,CCC,2.10,2.60,2.60,,,
PLPC,2025-09-01,CCC,2.80,5.60,5.60,,,
QCOM,2025-09-01,A,3.80,9.20,9.20,,,
POWI,2025-09-01,BBB,4.80,6.20,6.20,,,
MKSI,2025-09-01,BBB,4.50,9.10,9.10,,,
MLKN,2025-09-01,A,0.10,0.10,0.10,,,
RDN,2025-09-01,A,2.20,2.20,8.70,,,2.20
XOM,2025-09-01,A,3.70,0.04,0.04,,,
BB,2025-09-01,AA,8.70,8.70,8.70,,,
CAH,2025-09-01,AAA,0.10,0.10,0.10,,,
FHN,2025-09-01,BBB,1.70,1.70,9.70,,,
FLS,2025-09-01,AA,4.90,0.10,0.10,,,
AJG,2025-09-01,BBB,8.10,8.10,0.10,,,8.10
BDX,2025-09-01,BBB,0.10,0.10,0.10,,,
CBRL,2025-09-01,A,3.30,8.50,8.50,,,
NSP,2025-09-01,BB,8.30,8.30,8.30,,,
AVB,2025-09-01,A,6.50,9.20,9.20,,,
BUSE,2025-09-01,BBB,1.90,1.90,8.30,,,
ENB,2025-09-01,AA,5.50,6.90,6.90,,,
ATEC,2025-09-01,BBB,6.40,6.40,6.40,,,
COP,2025-09-01,A,3.90,3.70,3.20,,,
DOW,2025-09-01,AA,0.10,0.10,0.10,,,
DRS,2025-09-01,AA,0.03,6.40,6.40,,,
DUK,2025-09-01,AA,6.30,7.50,7.50,,,
HAL,2025-09-01,A,6.70,7.60,7.60,,,
CELH,2025-09-01,B,1.30,0.00,0.05,,0.00,
BHC,2025-09-01,A,3.60,0.10,0.10,,,
TMP,2025-09-01,BB,2.50,2.50,0.07,,,
MAC,2025-09-01,A,7.10,9.60,9.60,,,
MCO,2025-09-01,AA,0.10,0.10,0.10,,,
KTB,2025-09-01,A,2.80,2.80,0.10,,,
BKNG,2025-09-01,A,0.10,0.10,0.10,,,
MSTR,2025-09-01,A,4.80,6.70,6.70,,,
SRCE,2025-09-01,B,0.00,0.00,0.07,,,
NBTB,2025-09-01,BBB,0.02,0.02,0.08,,,
REG,2025-09-01,A,5.30,0.09,0.09,,,
UNH,2025-09-01,BBB,0.10,0.10,0.10,,,
WMK,2025-09-01,B,1.70,1.30,0.07,,1.30,
ACIW,2025-09-01,AAA,5.60,8.70,8.70,,,
HD,2025-09-01,AA,6.20,0.10,0.10,,0.10,
NLY,2025-09-01,A,0.09,0.09,0.09,,,
DRH,2025-09-01,BBB,5.30,9.60,9.60,,,
BEN,2025-09-01,A,4.10,4.10,0.10,,,
CIM,2025-09-01,AA,3.10,0.10,0.10,,,
AWI,2025-09-01,AA,6.10,7.90,7.90,,,
AX,2025-09-01,B,0.50,0.50,6.70,,,
APLD,2025-09-01,BB,4.30,4.60,4.60,,,
EQR,2025-09-01,BBB,6.10,8.90,8.90,,,
EMN,2025-09-01,BBB,4.20,6.10,6.10,,,
FIX,2025-09-01,AA,2.90,0.10,0.10,,,
DINO,2025-09-01,A,4.20,5.30,5.30,,,
HRL,2025-09-01,AA,3.20,0.30,9.10,,0.30,
HST,2025-09-01,BBB,0.06,9.60,9.60,,,
IEX,2025-09-01,AA,4.70,0.10,0.10,,,
HTGC,2025-09-01,B,0.07,0.07,0.07,,,
LII,2025-09-01,AAA,6.40,9.50,9.50,,,
MAT,2025-09-01,A,6.90,0.10,0.10,,,
GIC,2025-09-01,BBB,2.90,7.10,7.10,,,
LBTYA,2025-09-01,A,0.10,0.10,0.10,,,
INVA,2025-09-01,BB,1.90,6.40,6.40,,,
SHOO,2025-09-01,AA,6.50,8.70,0.10,,8.70,
WSFS,2025-09-01,BBB,1.80,1.80,0.08,,,
WTFC,2025-09-01,BBB,0.60,0.60,8.70,,,
PIPR,2025-09-01,BB,2.30,2.30,8.70,,,
NNN,2025-09-01,BB,3.60,6.30,6.30,,,
NJR,2025-09-01,AA,0.10,0.10,0.10,,,
TMO,2025-09-01,BB,9.20,9.20,9.20,,,
ABM,2025-09-01,A,8.30,8.30,8.30,,,
AMG,2025-09-01,AA,4.60,8.10,8.10,,,
AMP,2025-09-01,BBB,0.10,0.10,0.10,,,
AZZ,2025-09-01,AA,6.10,9.90,9.90,,,
AAON,2025-09-01,AA,5.20,7.90,7.90,,,
ABT,2025-09-01,BBB,0.10,0.10,0.10,,,
AVAV,2025-09-01,A,4.50,8.30,8.30,,,
CVS,2025-09-01,BBB,0.10,0.10,0.10,,,
AIR,2025-09-01,AA,4.60,4.60,4.60,,,
ALNY,2025-09-01,AA,0.05,8.30,8.30,,,
AEE,2025-09-01,A,6.60,7.10,7.10,,,
AXP,2025-09-01,AA,0.10,0.10,0.10,,,
AMWD,2025-09-01,A,0.05,4.90,4.90,,,
OXY,2025-09-01,A,4.50,4.80,4.80,,,
ABR,2025-09-01,B,0.07,0.07,0.07,,,
ARW,2025-09-01,AA,0.04,0.10,0.10,,,
AIZ,2025-09-01,AAA,8.30,8.30,0.10,,,8.30
TRGP,2025-09-01,AA,4.70,2.10,2.10,,,
ALV,2025-09-01,BBB,2.90,0.10,0.10,,,
BCPC,2025-09-01,A,5.60,0.10,0.10,,,
BANR,2025-09-01,A,1.50,1.50,0.08,,,
QXO,2025-09-01,A,2.90,0.10,0.10,,,
BBY,2025-09-01,AAA,5.30,5.30,0.09,,5.30,
ANIP,2025-09-01,BB,1.90,6.40,6.40,,,
AVGO,2025-09-01,AA,5.20,0.10,0.10,,,
CBRE,2025-09-01,AAA,5.70,0.10,0.10,,,
CBL,2025-09-01,BBB,3.60,5.60,5.60,,,
CECO,2025-09-01,A,0.05,6.50,6.50,,,
CG,2025-09-01,BBB,0.02,4.80,4.80,,,
CVX,2025-09-01,BB,3.80,5.50,5.50,,,
CIEN,2025-09-01,AA,3.10,0.10,0.10,,,
CGNX,2025-09-01,BBB,3.30,8.40,8.40,,,
XPO,2025-09-01,AA,6.70,6.70,6.70,,,
INGR,2025-09-01,AA,4.90,7.60,7.60,,,
CE,2025-09-01,A,4.60,4.60,0.10,,,
CROX,2025-09-01,AA,7.70,7.70,6.50,,7.70,
LIVN,2025-09-01,A,0.10,0.10,0.10,,,
CYTK,2025-09-01,AA,6.10,0.09,0.09,,,
DHI,2025-09-01,A,4.70,7.80,7.80,,,
EPC,2025-09-01,AA,5.80,4.80,0.10,,4.80,
EFSC,2025-09-01,BBB,0.00,0.00,0.07,,,
EPR,2025-09-01,BBB,4.20,8.60,8.60,,,
RF,2025-09-01,AA,8.40,8.40,8.40,,,
FLEX,2025-09-01,A,4.50,0.10,0.10,,,
F,2025-09-01,BB,4.40,3.10,0.10,,3.10,
GAP,2025-09-01,AA,0.07,9.60,0.10,,9.60,
GNW,2025-09-01,BB,4.70,4.70,8.70,,,4.70
GTY,2025-09-01,B,3.70,6.30,6.30,,,
GSAT,2025-09-01,BBB,6.60,6.60,6.60,,,
GEF,2025-09-01,AA,8.10,9.20,9.20,,,
HRI,2025-09-01,BBB,2.90,6.60,6.60,,,
HWKN,2025-09-01,A,4.40,8.80,8.80,,,
IQV,2025-09-01,AAA,0.10,0.10,0.10,,,
INSM,2025-09-01,BBB,2.40,8.40,8.40,,,
IVZ,2025-09-01,AA,0.10,0.10,0.10,,,
WLY,2025-09-01,BBB,0.10,0.10,0.10,,,
LSCC,2025-09-01,AA,3.80,6.70,6.70,,,
L,2025-09-01,A,6.30,0.07,0.10,,0.07,
LOW,2025-09-01,AA,6.30,9.30,0.10,,9.30,
MTG,2025-09-01,A,1.50,1.50,8.70,,,1.50
MGM,2025-09-01,A,6.90,9.40,9.40,,,
MTN,2025-09-01,AA,0.10,0.10,0.10,,,
M,2025-09-01,AAA,6.10,0.08,6.70,,0.08,
MASI,2025-09-01,BB,8.10,8.10,8.10,,,
MGRC,2025-09-01,AA,2.90,8.90,8.90,,,
GCT,2025-09-01,A,0.06,9.20,9.20,,,
MRK,2025-09-01,AAA,6.70,0.10,0.10,,,
MMSI,2025-09-01,A,0.10,0.10,0.10,,,
MU,2025-09-01,A,0.05,9.10,9.10,,,
MTX,2025-09-01,AA,6.40,8.50,8.50,,,
MHK,2025-09-01,BBB,7.30,7.30,7.30,,,
NNI,2025-09-01,BB,6.70,6.70,6.70,,,
NEOG,2025-09-01,BBB,6.30,6.30,6.30,,,
CLS,2025-09-01,AA,6.10,6.10,0.10,,6.10,
ORA,2025-09-01,A,8.70,0.10,0.10,,,
POST,2025-09-01,AAA,0.10,0.10,0.10,,,
PPL,2025-09-01,B,4.40,5.40,5.40,,,
PTC,2025-09-01,AA,5.90,0.10,0.10,,,
PFE,2025-09-01,BBB,6.20,0.10,0.10,,,
POOL,2025-09-01,AA,2.90,2.90,8.30,,2.90,
PRU,2025-09-01,AA,5.60,5.60,0.10,,,5.60
PHM,2025-09-01,A,3.50,6.50,6.50,,,
REGN,2025-09-01,A,4.70,8.70,8.70,,,
RNST,2025-09-01,BBB,0.00,0.00,0.07,,,
RMD,2025-09-01,A,9.60,9.60,9.60,,,
PRIM,2025-09-01,A,0.03,6.30,6.30,,,
STBA,2025-09-01,BBB,0.01,0.01,0.08,,,
SSB,2025-09-01,BBB,0.01,0.01,0.07,,,
SAFE,2025-09-01,AA,6.20,0.09,0.09,,,
SLB,2025-09-01,A,8.10,9.40,9.40,,,
SHW,2025-09-01,AA,7.20,0.10,0.10,,,
SKYW,2025-09-01,BBB,2.80,2.80,2.80,,,
SON,2025-09-01,A,4.80,5.50,0.10,,5.50,
SON,2025-09-01,A,5.10,6.80,6.80,,,
JOE,2025-09-01,BBB,2.30,4.60,4.60,,,
SWK,2025-09-01,A,0.05,0.10,0.10,,,
STRA,2025-09-01,BBB,6.40,6.40,6.40,,,
SUI,2025-09-01,BB,4.60,9.70,9.70,,,
GEN,2025-09-01,A,0.10,0.10,0.10,,,
SYNA,2025-09-01,BB,3.80,0.09,0.09,,,
TFSL,2025-09-01,B,3.50,3.50,6.70,,,
SKT,2025-09-01,BBB,7.10,9.60,9.60,,,
TFX,2025-09-01,AA,0.10,0.10,0.10,,,
TNC,2025-09-01,A,4.40,0.10,0.10,,,
TCBI,2025-09-01,BBB,0.60,0.60,0.08,,,
TOL,2025-09-01,BBB,4.40,5.60,5.60,,,
TTC,2025-09-01,A,4.60,0.10,0.10,,,
UMH,2025-09-01,B,4.40,5.60,5.60,,,
LEU,2025-09-01,BB,0.02,2.90,2.90,,,
UPS,2025-09-01,BBB,9.40,9.40,9.40,,,
AD,2025-09-01,BBB,6.20,6.20,6.20,,,
USLM,2025-09-01,BB,0.02,0.70,0.70,,,
UEC,2025-09-01,BBB,2.60,4.30,4.30,,,
VFC,2025-09-01,AAA,8.60,0.10,0.10,,0.10,
VLY,2025-09-01,BBB,1.30,1.30,0.08,,,
VC,2025-09-01,AA,4.30,0.10,0.10,,,
WRB,2025-09-01,BB,3.90,3.90,0.09,,,3.90
ELME,2025-09-01,A,6.60,9.60,9.60,,,
EVRG,2025-09-01,A,5.90,5.90,3.20,,,
CHRD,2025-09-01,BB,1.50,0.00,0.00,,,
WMB,2025-09-01,AA,4.90,4.40,4.40,,,
TNL,2025-09-01,AA,4.70,8.20,8.20,,,
EXC,2025-09-01,AA,7.40,7.70,7.70,,,
KDP,2025-09-01,AA,4.50,7.50,0.10,,7.50,
DUK,2025-09-01,AA,6.30,7.50,7.50,,,
ET,2025-09-01,BB,3.10,3.40,3.40,,,
LNT,2025-09-01,AA,6.90,5.90,8.70,,,
AEP,2025-09-01,A,6.40,5.20,5.20,,,
TLN,2025-09-01,CCC,1.30,2.60,2.60,,,
PBH,2025-09-01,A,3.70,0.70,9.30,,0.70,
SRE,2025-09-01,A,5.70,5.90,5.90,,,
UELMO,2025-09-01,A,6.60,7.10,6.40,,,
WNS,2025-09-01,A,0.10,0.10,0.10,,,
F,2025-09-01,BB,4.40,3.10,6.70,,3.10,
EXC,2025-09-01,AA,7.30,9.20,5.40,,,
KMI,2025-09-01,A,4.90,5.30,5.30,,,
WMB,2025-09-01,A,5.60,7.30,7.30,,,
CNK,2025-09-01,AA,8.30,8.30,8.30,,,
SBH,2025-09-01,AA,1.20,1.20,7.50,,1.20,
SYK,2025-09-01,A,0.10,0.10,0.10,,,
LPX,2025-09-01,A,5.50,5.50,5.50,,,
CMI,2025-09-01,AAA,5.50,0.10,0.10,,,
KAR,2025-09-01,AA,3.40,5.70,5.70,,,
AAL,2025-09-01,A,3.70,7.30,7.30,,,
AYI,2025-09-01,AA,6.20,0.10,0.10,,,
CTAS,2025-09-01,A,8.40,8.40,8.40,,,
FFIV,2025-09-01,AAA,5.40,0.10,0.10,,,
INCY,2025-09-01,AA,4.50,0.10,0.10,,,
THRM,2025-09-01,A,3.20,0.10,0.10,,,
DOW,2025-09-01,AA,4.70,5.90,5.90,,,
SIG,2025-09-01,AAA,9.70,9.70,9.70,,,
WOR,2025-09-01,AA,3.80,0.10,0.10,,,
DCI,2025-09-01,AA,5.40,0.10,0.10,,,
BMY,2025-09-01,AA,0.04,0.10,0.10,,,
ACA,2025-09-01,AA,8.90,8.90,0.10,,,
CRH,2025-09-01,AAA,9.40,8.90,8.90,,,
SEB,2025-09-01,B,1.50,0.20,4.30,,0.20,
JHG,2025-09-01,AAA,0.10,0.10,0.10,,,
LXP,2025-09-01,BBB,5.60,0.09,0.09,,,
LZB,2025-09-01,A,5.90,0.10,0.10,,,
EXC,2025-09-01,AA,7.30,9.20,9.20,,,
C,2025-09-01,A,8.60,8.60,0.10,,,
DOC,2025-09-01,BB,3.80,9.90,9.90,,,
MNKD,2025-09-01,BBB,0.05,0.07,0.07,,,
WDFC,2025-09-01,A,3.80,0.04,3.90,,0.04,
XRAY,2025-09-01,A,0.10,0.10,0.10,,,
VSAT,2025-09-01,BBB,2.40,0.09,0.09,,,
ACI,2025-09-01,BBB,4.30,4.30,0.10,,4.30,
WEC,2025-09-01,A,6.40,6.60,6.60,,,
T,2025-09-01,A,0.10,0.10,0.10,,,
CPB,2025-09-01,AA,4.50,7.60,9.90,,7.60,
VYX,2025-09-01,AA,5.70,0.10,0.10,,,
AXS,2025-09-01,A,4.90,4.90,0.10,,,4.90
ACN,2025-09-01,AA,7.50,0.10,0.10,,,
HPQ,2025-09-01,AA,0.04,0.10,0.10,,,
CLH,2025-09-01,BB,2.50,4.10,4.10,,,
AMSC,2025-09-01,A,4.10,6.20,6.20,,,
ATI,2025-09-01,A,2.90,4.40,4.40,,,
INTC,2025-09-01,AAA,7.20,0.10,0.10,,,
MU,2025-09-01,A,0.05,9.10,9.10,,,
MTCH,2025-09-01,BB,0.10,0.10,0.10,,,
BHC,2025-09-01,A,3.60,0.10,0.10,,,
IPGP,2025-09-01,BBB,3.10,9.50,9.50,,,
AKAM,2025-09-01,AAA,0.10,0.10,0.10,,,
CIM,2025-09-01,B,0.08,0.08,0.08,,,
MDXG,2025-09-01,BB,4.10,6.30,6.30,,,
MEG,2025-09-01,BB,3.70,8.40,8.40,,,
QCRH,2025-09-01,BBB,0.00,0.00,0.08,,,
ONTO,2025-09-01,AA,3.40,0.10,0.10,,,
AMZN,2025-09-01,BBB,6.40,9.90,0.10,,9.90,
NOG,2025-09-01,B,2.30,4.30,4.30,,,
GLW,2025-09-01,BBB,3.30,0.07,0.07,,,
OLN,2025-09-01,BBB,2.90,6.40,6.40,,,
TRV,2025-09-01,AA,6.50,6.50,0.10,,,6.50
LH,2025-09-01,AA,0.10,0.10,0.10,,,
CRM,2025-09-01,AA,6.60,0.10,0.10,,,
SM,2025-09-01,BBB,4.70,9.30,9.30,,,
BHE,2025-09-01,AA,2.40,0.10,0.10,,,
BXP,2025-09-01,A,7.60,9.70,9.70,,,
WTRG,2025-09-01,AA,6.50,8.40,8.40,,,
ACLS,2025-09-01,BB,2.40,8.80,8.80,,,
ASB,2025-09-01,AA,2.40,9.70,9.70,,,
PCT,2025-09-01,A,6.20,8.90,8.90,,,
INVX,2025-09-01,AA,7.70,8.70,8.70,,,
EMR,2025-09-01,BBB,2.40,5.50,5.50,,,
IDA,2025-09-01,AA,6.70,6.10,6.10,,,
IMO,2025-09-01,A,4.30,4.30,4.30,,,
ACGL,2025-09-01,AA,6.50,6.50,0.10,,,6.50
NKE,2025-09-01,BB,8.10,9.60,0.10,,9.60,
MOD,2025-09-01,AA,0.02,0.10,0.10,,,
PBI,2025-09-01,A,0.08,0.08,0.08,,,
SFNC,2025-09-01,BB,0.20,0.20,0.08,,,
PLXS,2025-09-01,AA,2.30,0.10,0.10,,,
NVAX,2025-09-01,B,4.60,6.20,6.20,,,
SWKS,2025-09-01,BBB,5.40,8.90,8.90,,,
WWD,2025-09-01,A,2.10,8.60,8.60,,,
AXON,2025-09-01,AA,3.50,6.70,6.70,,,
PII,2025-09-01,BBB,5.30,5.30,0.10,,5.30,
WTW,2025-09-01,AA,9.50,9.50,0.10,,,9.50
THO,2025-09-01,BBB,6.30,9.60,0.10,,9.60,
SHW,2025-09-01,AA,7.20,0.10,0.10,,,
MCD,2025-09-01,A,5.20,0.10,0.10,,,
SLB,2025-09-01,A,8.10,9.40,9.40,,,
FE,2025-09-01,A,6.30,7.90,7.90,,,
AIV,2025-09-01,BB,3.90,5.80,5.80,,,
PLD,2025-09-01,AA,6.30,9.30,9.30,,,
CDNS,2025-09-01,AA,6.60,0.10,0.10,,,
FCFS,2025-09-01,CCC,0.08,0.08,0.07,,,
FFIN,2025-09-01,BB,1.30,1.30,0.08,,,
ILMN,2025-09-01,A,0.10,0.10,0.10,,,
GBCI,2025-09-01,A,1.20,1.20,0.07,,,
SCHW,2025-09-01,BBB,4.50,4.50,0.09,,,
SSNC,2025-09-01,B,0.08,0.08,0.08,,,
NHC,2025-09-01,BBB,1.80,0.50,0.50,,,
CNX,2025-09-01,A,3.40,3.60,3.60,,,
DEI,2025-09-01,BB,0.06,8.90,8.90,,,
EFC,2025-09-01,B,0.08,0.08,0.08,,,
KMT,2025-09-01,AA,4.10,8.40,8.40,,,
WBD,2025-09-01,AA,5.10,0.10,0.10,,,
MTB,2025-09-01,A,1.90,1.90,0.10,,,
NFG,2025-09-01,AA,6.10,5.70,5.70,,,
ES,2025-09-01,AA,7.30,0.10,0.10,,,
SAIA,2025-09-01,A,4.20,4.20,4.20,,,
WM,2025-09-01,BBB,4.10,6.60,6.60,,,
RMBS,2025-09-01,A,3.60,7.20,7.20,,,
SHO,2025-09-01,BBB,5.90,8.90,8.90,,,
TSCO,2025-09-01,AA,6.70,8.10,0.10,,8.10,
RRX,2025-09-01,BBB,5.10,0.10,0.10,,,
RGA,2025-09-01,A,5.40,5.40,0.10,,,5.40
UVV,2025-09-01,A,4.50,0.10,0.10,,,
PRSU,2025-09-01,A,4.20,4.20,4.20,,,
OFG,2025-09-01,BBB,2.70,2.70,7.30,,,
DE,2025-09-01,AA,5.80,0.10,0.10,,,
AIR,2025-09-01,A,2.10,7.10,7.10,,,
AES,2025-09-01,BBB,7.30,0.10,0.10,,,
AAP,2025-09-01,AA,5.70,0.09,0.10,,0.09,
BFH,2025-09-01,A,0.10,0.10,0.10,,,
ALL,2025-09-01,A,5.60,5.60,0.10,,,5.60
AIG,2025-09-01,BBB,0.07,0.07,0.10,,,0.07
ABCB,2025-09-01,BBB,1.20,1.20,0.07,,,
APOG,2025-09-01,BBB,4.50,0.06,0.06,,,
AAPL,2025-09-01,BBB,0.04,0.10,0.10,,,
